id,iep,ell,grade,expected_small,expected_1,week,days_absent,whole_group,small_group,one_one,num_complete,percent_complete,lexia_min,dreambox_min
705,N,,PS,NA,NA,2020-08-19,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-08-24,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-08-31,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-09-07,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-09-14,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-09-21,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-09-28,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-10-05,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-10-12,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-10-19,0,NA,NA,NA,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-10-26,0,4,2,1,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-11-02,0,4,0,0,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-11-09,0,3,0,0,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-11-16,0,4,0,1,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-11-23,2,0,0,0,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-11-30,0,4,0,0,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-12-07,0,4,0,0,NA,NA,NA,NA
705,N,,PS,NA,NA,2020-12-14,1,3,0,1,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-08-19,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-08-24,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-08-31,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-09-07,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-09-14,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-09-21,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-09-28,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-10-05,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-10-12,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-10-19,0,NA,NA,NA,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-10-26,0,4,2,1,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-11-02,0,4,0,0,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-11-09,1,2,0,1,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-11-16,0,4,0,1,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-11-23,0,2,0,0,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-11-30,1,3,0,1,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-12-07,0,4,0,0,NA,NA,NA,NA
710,Y,,PS,NA,NA,2020-12-14,0,4,0,1,NA,NA,NA,NA
712,N,,PS,NA,NA,2020-08-19,0,NA,NA,NA,NA,NA,NA,NA
712,N,,PS,NA,NA,2020-08-24,0,NA,NA,NA,NA,NA,NA,NA
712,N,,PS,NA,NA,2020-08-31,0,NA,NA,NA,NA,NA,NA,NA
712,N,,PS,NA,NA,2020-09-07,0,NA,NA,NA,NA,NA,NA,NA
712,N,,PS,NA,NA,2020-09-14,0,NA,NA,NA,NA,NA,NA,NA
712,N,,PS,NA,NA,2020-09-21,0,NA,NA,NA,NA,NA,NA,NA
712,N,,PS,NA,NA,2020-09-28,0,NA,NA,NA,NA,NA,NA,NA
